ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);HeatTransferPerMassFlow( W / kg/s)
497;0.035;0.04;10501;300023
498;0.035;0.04;10616;303307
499;0.035;0.04;;
500;0.035;0.04;10836;309606
501;0.035;0.04;11018;314791
502;0.035;0.04;11547;329902
503;0.035;0.04;11559;330269
504;0.035;0.04;11441;326889
757;0.005;0.08;5439;1087881
758;0.005;0.08;6374;1274843
759;0.005;0.08;6600;1320090
760;0.005;0.08;6758;1351635
761;0.005;0.08;6881;1376199
762;0.005;0.08;6933;1386541
763;0.005;0.08;6981;1396107
764;0.005;0.08;7064;1412819
765;0.005;0.08;7134;1426880
766;0.005;0.08;7231;1446294
767;0.005;0.08;7277;1455314
768;0.005;0.08;7287;1457426
769;0.01;0.08;7345;734524
770;0.01;0.08;9437;943676
771;0.01;0.08;9867;986666
772;0.01;0.08;10184;1018436
773;0.01;0.08;10429;1042921
774;0.01;0.08;10536;1053591
775;0.01;0.08;10638;1063774
776;0.01;0.08;10822;1082174
777;0.01;0.08;10986;1098560
778;0.01;0.08;11032;1103208
779;0.01;0.08;11418;1141764
780;0.01;0.08;11479;1147866
781;0.015;0.08;8535;569016
782;0.015;0.08;11932;795497
783;0.015;0.08;12554;836927
784;0.015;0.08;11756;783745
785;0.015;0.08;13371;891416
786;0.015;0.08;13526;901763
787;0.015;0.08;13675;911681
788;0.015;0.08;13946;929726
789;0.015;0.08;14190;945985
790;0.015;0.08;13800;919997
791;0.015;0.08;15467;1031163
792;0.015;0.08;15050;1003301
793;0.02;0.08;9423;471130
794;0.02;0.08;11284;564212
795;0.02;0.08;12494;624678
796;0.02;0.08;13303;665161
797;0.02;0.08;13878;693899
798;0.02;0.08;14217;710861
799;0.02;0.08;14509;725471
800;0.02;0.08;;
801;0.02;0.08;15295;764738
802;0.02;0.08;15920;796023
803;0.02;0.08;16347;817374
804;0.02;0.08;18684;934177
805;0.025;0.08;10046;401858
806;0.025;0.08;12237;489478
807;0.025;0.08;13640;545592
808;0.025;0.08;14505;580197
809;0.025;0.08;15102;604089
810;0.025;0.08;15491;619625
811;0.025;0.08;15858;634302
812;0.025;0.08;;
813;0.025;0.08;16789;671571
814;0.025;0.08;17733;709328
815;0.025;0.08;18217;728698
816;0.025;0.08;18427;737063
817;0.03;0.08;10508;350264
818;0.03;0.08;12992;433060
819;0.03;0.08;14567;485574
820;0.03;0.08;15441;514684
821;0.03;0.08;16082;536059
822;0.03;0.08;16513;550444
823;0.03;0.08;16943;564766
824;0.03;0.08;;
825;0.03;0.08;18031;601041
826;0.03;0.08;19156;638531
827;0.03;0.08;19764;658785
828;0.03;0.08;19903;663449
829;0.035;0.08;10802;308621
830;0.035;0.08;13610;388864
831;0.035;0.08;15305;437273
832;0.035;0.08;16215;463273
833;0.035;0.08;16841;481166
834;0.035;0.08;17343;495509
835;0.035;0.08;17647;504200
836;0.035;0.08;;
837;0.035;0.08;18988;542517
838;0.035;0.08;20298;579946
839;0.035;0.08;21043;601237
840;0.035;0.08;21025;600726
