ID	Valid	Case	MassFlowPerTube	InnerRadius(m)	PressureDrop(Pa)	OutletTemperature(K)	HeatTransferBalance_Inlet/Outlet(W)	HeatTransferPerAreaMean(W/m2)	HeatTransferPerAreaSTD(W/m2)	HeatTransferPerAreaVAR(W/m2)	HeatTransferMean(W)	HeatTransferSTD(W)	HeatTransferVAR(W)	Continuity	SolvingStatus
47	1	a-line	0.020	0.063	0.529228672181489	1212.4344227471638	-89013.38145475872	38809.54697022592	1503.898243135864	2261709.925707138	17800.560264804026	689.784689566466	475802.9179603059	4.598553e-05	converged
48	1	a-line	0.020	0.063	0.5433746362687089	1213.7372285371928	-88735.83736599905	38688.2815035027	1483.7142291538082	2201407.913793479	17744.940103865207	680.526999505083	463116.99705539126	4.714080e-05	converged
49	1	a-line	0.025	0.063	0.9400174632901326	1268.0348978006173	-93571.82893196092	40797.251074622756	1951.51897889908	3808426.325003308	18712.249512969138	895.0924167822	801190.4345809997	1.463062e-03	converged
50	1	a-line	0.025	0.063	0.925209369554068	1262.1960646260536	-95018.2521617483	41425.948253199276	1515.9889421917362	2298222.472847619	19000.610570730245	695.3302636323845	483484.1755230813	8.867590e-04	converged
51	1	a-line	0.025	0.063	0.848950507453992	1260.075527783095	-87805.34806779854	41587.83905701235	1392.6821613352874	1939563.6025015279	19074.90757971424	638.7752794505413	408033.8576371172	2.164976e-02	converged
52	1	a-line	0.025	0.063	0.8917818487680051	1256.5259198120489	-89300.76272283541	41924.86087811653	1204.4936022795391	1450804.8379323408	19229.487866540312	552.4596772710911	305211.69501047814	1.644069e-02	converged
53	1	a-line	0.025	0.063	0.876615083674551	1252.841740947376	-97269.69199324763	42406.50800032522	945.5459577798107	894057.1582737395	19450.358486760986	433.6883349221867	188085.5718475788	8.001128e-04	converged
54	1	a-line	0.025	0.063	0.8693889654969098	1251.734831831665	-97531.48615134196	42522.445555907696	886.6376742290686	786126.3653623319	19503.534924163952	406.6691983101044	165379.836854183	1.058777e-03	converged
55	1	a-line	0.025	0.063	0.8620612091763178	1250.7834315559392	-97770.04885610376	42620.86896924047	840.4070901940039	706284.0772483526	19548.67824680676	385.46487201831525	148583.16756009613	1.234685e-03	converged
56	1	a-line	0.025	0.063	0.8438944737281417	1249.0592937766169	-98165.02590432766	42796.54435219527	785.8162287547924	617507.1453744043	19629.254303098493	360.42598352776236	129906.88960195481	1.006214e-03	converged
57	1	a-line	0.025	0.063	1.331684e+00	1.204574e+03	-79433.0407881641	37782.20550604673	1069.2330793186768	1143259.3779093	17329.116067344534	490.41245490849826	240504.37592937986	6.910810e-03	converged
58	1	a-line	0.025	0.063	0.8142711606196826	1246.8556760273955	-92666.2269539652	43095.5949789573	1193.7502427452698	1425039.6420543909	19766.4632247296	547.5320687475801	299791.3663070047	2.516507e-03	converged
